year,fiscalDateEnding_balance,reportedCurrency_balance,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,fiscalDateEnding_income,reportedCurrency_income,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_cashflow,Current Ratio,Quick Ratio,Debt Equity Ratio,ROE,ROA,Dividend Yield,EBITDA,Adjusted Close,EPS,Revenue per Share,Book Value per Share,P/E Ratio,P/S Ratio,P/B Ratio,Company,SalesGrowth,OperatingProfitMargin,netProfitMargin,NetWorkingCapital,NetWorkingCapital/Sales,avgReceivables,DebtorDays,AvgPayables,CreditorDays,totalDebt,debtRatioToCapital,CummulativeCashflowFromOperations,CummulativeCNetProfits,Innovation %
2017,12/31/2017,USD,3421.566,2700.857,334.063,2043.039,0.0,279.473,1077.472,166.762,37.763,806.355,166.473,639.882,22.7,22.7,1708.976,44.282,81.655,429.239,362.289,71.194,,,16.033,109.283,16.033,16.033,16.033,,16.033,275.062,82.983,2992.327,,-4656.667,0.012,1222.202,12/31/2017,USD,107.487,824.949,717.462,96.3,-3485.576,2058.2,1534.863,3624.563,21.096,-3.456,21.096,3.456,1.0,4.528,,31.5,-3463.408,-18.342,3.456,-3445.066,-3428.852,-3459.952,-3428.452,-3445.066,12/31/2017,USD,-734.667,6.226,,159.976,148.911,61.288,92.625,104.357,,-3445.066,-1357.01,2265.348,,,0.0,,,0.0,,,,0.0,2669.176,,183.942,,-3445.066,6.83538769,6.83538769,0.143446555,-1.151299975,-1.0068682,0.0,-3454.076,14.61,-2.420885978,0.579700786,2.102741276,-6.034980636,25.20265689,6.948073055,Snapchat,,-422.52018003537194,-417.6095734402975,2338.568,1513.6190000000001,,,,,32.066,-0.006933805360865581,-734.667,-3445.066,1.86055501612827
2018,12/31/2018,USD,2714.106,2063.0769999999998,387.149,1279.063,0.0,354.965,1081.778,212.56,66.996,758.424,126.054,632.37,935.514,43.6,891.914,41.9,67.194,403.107,303.648,30.876,10.957,,,127.216,,,,,16.8,261.815,110.416,2310.999,,-5912.578,0.016,1317.761,12/31/2018,USD,375.487,1174.352,798.865,120.3,-1268.45,877.846,772.185,1726.186,27.228,-3.894,27.228,3.894,1178.246,-8.248,,42.6,-1253.364,2.547,3.894,-1255.911,-1266.921,-1249.47,-1206.87,-1255.911,12/31/2018,USD,-689.924,1.498,,-41.492,54.127,91.648,122.807,77.506,,-1255.911,694.454,47.437,,,0.0,,,0.0,,,,0.0,47.988,,51.967,,-1255.911,5.725929393,5.725929393,0.17442976,-0.543449391,-0.462734691,0.0,-1225.85,5.51,-0.882542549,0.825230138,1.623964555,-6.243325045,6.676925317,3.392931196,Snapchat,42.35449706587924,-108.01275937708625,-106.94502159488808,1759.4289999999996,585.0769999999995,317.219,98.59474416529285,51.035000000000004,15.86217335177187,,,-1424.591,-4700.977,0.6575413504639154
2019,12/31/2019,USD,4011.924,3164.303002,520.317,2112.805,2e-06,492.194,1422.938,173.667,112.56,853.274,92.121,761.153,1647.488,55.0,1592.488,38.987,65.55,1752.011,541.854,46.886,20.082,42.179,42.179,1252.336,345.357,891.776,,891.776,891.776,390.528,57.382,2259.913,,-6945.93,0.014,1415.796,12/31/2019,USD,839.301,1735.139,895.838,174.7,-1103.328,1039.515,883.509,1916.541,36.042,-24.994,36.042,24.994,1755.417,59.013,,33.4,-1033.267,0.393,24.994,-1033.66,-1036.234,-1008.273,-974.873,-1033.66,12/31/2019,USD,-304.958,66.3,,165.783,156.542,87.245,36.478,147.862,,-1033.66,-728.608,1165.852,,,,,,0.0,,,,,16.527,,132.286,,-1033.66,5.291411417,5.291411413,0.77525595,-0.457389289,-0.257646954,0.0,-1069.928,16.33,-0.726364314,1.219301365,1.588065858,-22.48183136,13.39291538,10.28294886,Snapchat,47.75288840143328,-63.58729761707852,-59.57217260403922,2622.4490020000003,887.3100020000004,423.5795,89.10324619526159,38.881,8.178921112371977,933.9549999999999,-0.1553494774833037,-1729.549,-5734.637,0.5091862957376903
2020,12/31/2020,USD,5024.238,3883.5930009999997,545.618,2537.54,1e-06,744.288,1855.763,178.709,134.452,1045.188,105.929,939.259,2161.422,169.5,1991.922,56.147,192.638,2694.262,377.894,71.908,27.814,,41.077,2026.935,328.369,1675.169,,1675.169,1675.169,237.095,64.474,2329.976,,-7891.542,0.014,1503.333,12/31/2020,USD,1229.708,2412.213,1182.505,324.3,-862.072,1084.632,1101.561,2219.693,18.127,-97.228,18.127,97.228,2506.626,14.988,,33.5,-926.185,18.654,97.228,-944.839,-924.049,-828.957,-795.457,-944.839,12/31/2020,USD,-167.644,85.319,,138.792,281.847,86.744,57.832,255.818,,-944.839,-729.864,922.791,,0.0,0.0,,,0.0,,,,,34.209,,25.283,,-944.839,5.002008011,5.00200801,1.156347533,-0.405514477,-0.188056179,0.0,-828.572,50.07,-0.663948815,1.695088752,1.637299903,-75.41243979,29.53827635,30.58083611,Snapchat,39.02131183726494,-35.73780590685814,-39.16897056769033,3505.699001,1093.4860009999998,618.241,93.54810914293223,59.397000000000006,8.98755831263657,1716.246,-0.2779218827577429,-1897.193,-6679.476,0.45665992182282406
2021,12/31/2021,USD,7536.306,7041.0109999999995,1993.809,3886.085,0.0,1068.873,2682.304,202.644,175.26,1866.106,277.654,1588.452,3199.076,,1892.276,92.244,291.302,3746.138,851.7860000000001,125.282,44.473,,52.396,2894.352,377.905,2253.087,,2253.087,2253.087,629.635,315.756,3790.168,0.0,-8284.466,0.016,1619.283,12/31/2021,USD,2351.604,4101.85,1750.246,679.0,-702.069,1503.404,1565.467,3132.071,5.199,-17.676,5.199,17.676,4117.048,240.175,,63.2,-474.371,13.584,59.214,-487.955,-503.797,-456.695,-393.495,-487.955,12/31/2021,USD,292.88,84.787,,176.645,370.49,119.141,69.875,332.967,,-487.955,90.227,1065.073,,0.0,0.0,,,0.0,,,,,14.671,,1448.18,,-487.955,5.698616789,5.698616789,0.988383101,-0.128742314,-0.064747238,0.0,-638.869,47.03,-0.342891375,2.882415358,2.66339297,-137.1571391,16.31617729,17.65792751,Snapchat,70.04509966574261,-17.115911113278155,-11.895973767933981,6189.224999999999,2087.374999999999,906.5805,80.67137572071138,98.595,8.773401026366152,2305.483,-0.38559888355296157,-1604.313,-7167.431,0.38164901203115664
2022,12/31/2022,USD,8029.538,6771.2680009999995,1423.121,4030.624,1e-06,1183.092,2772.891,271.777,218.593,1850.6,204.48,1646.12,5016.003,,2607.503,134.431,279.562,5448.84,1215.599,181.774,50.782,,46.485,4233.241,432.756,3742.52,,3742.52,3742.52,936.558,104.45,2580.698,500.514,-10214.657,0.015,1625.398,12/31/2022,USD,2812.067,4627.409,1815.342,681.9,-1395.306,2072.011,2109.8,4503.06,58.597,-21.459,58.597,21.459,4601.847,-42.529,,132.3,-1400.697,28.956,21.459,-1429.653,-1449.148,-1379.238,-1246.938,-1429.653,12/31/2022,USD,184.614,103.773,,123.654,161.201,202.173,129.306,119.78,,-1429.653,-1062.275,306.714,,1001.052,1001.052,,,0.0,,,,,-996.78,,,,-1429.653,4.324326525,4.324326525,2.111382269,-0.553979195,-0.178049223,0.0,-1263.006,8.95,-1.004632974,3.25173148,1.813485025,-8.908726103,2.752379787,4.935248913,Snapchat,12.812730840961994,-30.15307270224007,-30.895323927493767,5555.669000999999,928.2600009999996,1125.9825,88.81506097688795,153.528,12.109956133118988,3789.005,-0.5896699424508419,-1419.699,-8597.083999999999,0.45593549219444407
2023,12/31/2023,USD,7967.758,6769.843000999999,1780.4,3557.68,1e-06,1278.176,2991.915,410.326,264.384,1838.13,146.303,1691.827,3563.68,,1777.28,153.587,226.597,5553.646,1134.118,278.961,93.706,,49.321,4419.528,595.6,3749.4,0.0,3749.4,3749.4,712.13,123.849,2414.112,479.903,-11726.536,0.016,1694.696,12/31/2023,USD,2481.02,4595.137,2114.117,675.0,-1398.379,1979.515,1910.862,4012.277,168.394,-22.024,168.394,22.024,4617.161,-42.414,,81.1,-1294.423,28.062,22.024,-1322.485,-1301.38,-1272.399,-1191.299,-1322.485,12/31/2023,USD,246.521,107.944,,166.273,105.809,168.441,211.727,98.127,,-1322.485,570.954,-458.789,,189.394,189.394,,,0.0,,,,,-188.356,,,,-1322.485,4.387412068,4.387412067,2.300492272,-0.547814269,-0.165979564,0.0,-1317.279,16.93,-0.929324835,3.229053589,1.696423201,-18.2175267,5.243022308,9.979821069,Snapchat,-0.697409716755093,-30.43171509358698,-28.78009948343216,5635.725000999999,1040.5880009999992,1230.634,97.75147291582385,230.3675,18.29850502825052,3798.721,-0.4791646458241436,-1173.178,-9919.569,0.4158444024628646
2009,9/30/2009,USD,47501.0,33987.0,5263.0,23464.0,455.0,3361.0,23520.0,1780.0,1713.0,453.0,247.0,206.0,,10528.0,18201.0,1444.0,2011.0,15861.0,10925.0,5601.0,,,1948.0,4355.0,,,,,,3376.0,3502.0,31640.0,,23353.0,8210.0,899.8055,9/30/2009,USD,17222.0,42905.0,29832.0,25683.0,11740.0,4149.0,1333.0,5482.0,,,,326.0,,326.0,,606.0,12066.0,3831.0,,8235.0,8321.0,11740.0,12346.0,8235.0,9/30/2009,USD,10159.0,,,452.0,1787.0,703.0,1144.0,939.0,-54.0,8235.0,-17434.0,663.0,,,,,,0.0,,475.0,,,475.0,,-6612.0,,8235.0,2.742482183,2.702937598,0.501295828,0.260271808,0.173364771,0.0,12346.0,6.3551,0.544794189,2.838420725,2.09317403,11.66513911,2.238956312,3.036106845,Apple,,27.362778230975408,19.19356718331197,23062.0,-19843.0,,,,,,,10159.0,8235.0,0.031068640018645847
2010,9/30/2010,USD,75183.0,46889.0,11261.0,25620.0,1051.0,5510.0,57101.0,2174.0,2466.0,1083.0,342.0,741.0,39750.0,25391.0,14359.0,3447.0,2263.0,27392.0,24327.0,12015.0,4123.0,,2466.0,10970.0,,,,,,5723.0,5531.0,47791.0,,37169.0,10668.0,915.97005,9/30/2010,USD,25684.0,65225.0,45873.0,39541.0,18385.0,5517.0,1782.0,7299.0,,,,155.0,,155.0,,815.0,18540.0,4527.0,,14013.0,13890.0,18385.0,19200.0,14013.0,9/30/2010,USD,18595.0,,,8302.0,5576.0,69.0,2005.0,4860.0,596.0,14013.0,-13854.0,1257.0,,,,,,0.0,,912.0,,,912.0,,5998.0,,14013.0,2.011292346,1.960573304,0.573162311,0.293214204,0.18638522,0.0,19200.0,9.7275,0.927043226,4.315021368,3.161658662,10.49303821,2.254334143,3.076707842,Apple,52.02190886843026,28.18704484476811,21.484093522422384,22562.0,-42663.0,4435.5,24.82111920275968,8808.0,49.28968953622078,,,28754.0,22248.0,0.027320812571866616
2011,9/30/2011,USD,116371.0,46441.0,9815.0,25952.0,776.0,5369.0,123607.0,7777.0,3991.0,4432.0,3536.0,896.0,71755.0,55618.0,16137.0,4529.0,3556.0,39756.0,35262.0,14632.0,5777.0,,5606.0,21886.0,,,,,,9247.0,10100.0,76615.0,,62841.0,13331.0,929.277,9/30/2011,USD,43818.0,108249.0,73630.0,64431.0,33790.0,7599.0,2429.0,10028.0,519.0,0.0,,0.0,,-104.0,,1600.0,34205.0,8283.0,0.0,25922.0,26411.0,34205.0,35805.0,25922.0,9/30/2011,USD,37529.0,,,8664.0,2907.0,192.0,4260.0,1791.0,-275.0,25922.0,-40419.0,1444.0,,0.0,0.0,,,0.0,,831.0,0.0,,831.0,,-1446.0,,25922.0,1.608437612,1.5806936,0.518906219,0.338341056,0.222753091,0.0,35390.0,12.2136,1.714894349,7.161314651,5.068537557,7.122071402,1.705496909,2.409689159,Apple,65.96243771559985,31.215068961376087,23.94664153941376,11179.0,-97070.0,5439.5,18.341208694768543,13323.5,44.92491847499746,,,66283.0,48170.0,0.022439006364954873
